PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	SC_PATENT_NO	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
699475	CHEMBL1237124	Meclocycline (BAN, INN, USAN)		GS-2989	Pfizer	-cycline	antibiotics (tetracycline derivatives)	-cycline	1963		D10AF04	D10AF04 [Dermatologicals:Anti-Acne Preparations:Anti-Acne Preparations For Topical Use:Antiinfectives for treatment of acne]	Antibacterial		Natural Product-derived	N	N	Single Stereoisomer	N						CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N
27473	CHEMBL283552	Fluorosalan (USAN); Flusalan (INN)				-sal-	anti-inflammatory agents (salicylic acid derivatives)	-sal-	1966				Disinfectant		Synthetic Small Molecule	Y	N	Achiral Molecule	N						Oc1c(Br)cc(Br)cc1C(=O)Nc2cccc(c2)C(F)(F)F
979010	CHEMBL1555126	Lanoconazole (INN)				-conazole	systemic antifungals (miconazole type)	-conazole							Synthetic Small Molecule	Y	N	Racemic Mixture	N						Clc1ccccc1C2CS\C(=C(\C#N)/n3ccnc3)\S2
469364	CHEMBL493682	Denopamine (INN, JAN, MI)				-pamine	dopaminergics (butopamine type)	-pamine							Synthetic Small Molecule	Y	N	Single Stereoisomer	N						COc1ccc(CCNC[C@H](O)c2ccc(O)cc2)cc1OC
191508	CHEMBL423875	Pivsulbactam (BAN); Sulbactam pivoxil (USAN)		CP-47904	Pfizer	-bactam	beta-lactamase inhibitors	-bactam	1980				Inhibitor (beta-lactamase); Synergist (penicillin/cephalosporin)		Natural Product-derived	Y	N	Single Stereoisomer	N						CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@@H](CC2=O)S(=O)(=O)C1(C)C
150818	CHEMBL327235	Albutoin (INN, USAN)		BAX-422Z		-toin	antiepileptics (hydantoin derivatives)	-toin	1964				Anticonvulsant		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C)CC1NC(=S)N(CC=C)C1=O
8543	CHEMBL500	Pindolol (BAN, FDA, INN, JAN, USAN, USP)	4	LB-46	Novartis Pharmaceuticals Corp	-olol	beta-blockers (propranolol type)	-olol	1970	1982	C07AA03	C07AA03 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, non-selective]	Vasodilator		Synthetic Small Molecule	Y	N	Racemic Mixture	N	Y	N	N	N	Prescription-only	CC(C)NCC(O)COc1cccc2[nH]ccc12
82297	CHEMBL296373	Edatrexate (INN, USAN)		CGP-30694; GNF-Pf-63; TCMDC-137768	Ciba-Geigy	-trexate	antimetabolites (folic acid derivatives)	-trexate	1990				Antineoplastic		Natural Product-derived	N	N	Racemic Mixture	N						CCC(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
238204	CHEMBL422648	Prulifloxacin (INN)				-oxacin	antibacterials (quinolone derivatives)	-oxacin			J01MA17	J01MA17 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Quinolone Antibacterials:Fluoroquinolones]			Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCN(CC5=C(C)OC(=O)O5)CC4
127960	CHEMBL78871	Gantofiban (INN)				-fiban	fibrinogen receptor antagonists (glycoprotein IIb/IIIa receptor antagonists)	-fiban							Synthetic Small Molecule	Y	N	Single Stereoisomer	N						CCOC(=O)CN1CCN(C[C@@H]2CN(C(=O)O2)c3ccc(cc3)C(=N)NC(=O)OC)CC1
30247	CHEMBL23293	Salirasib (INN, USAN)		FTS		sal-	anti-inflammatory agents (salicylic acid derivatives)	sal-	2005						Synthetic Small Molecule	N	N	Achiral Molecule	N						CC(=CCC\C(=C\CC\C(=C\CSc1ccccc1C(=O)O)\C)\C)C
244659	CHEMBL357440	Pivoxazepam (INN)				-azepam	antianxiety agents (diazepam type)	-azepam							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C)(C)C(=O)OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
706091	CHEMBL1257096	Avarofloxacin (INN, USAN); Acorafloxacin hydrochloride (USAN)		JNJ-32729463AAA; JNJ-Q2; JNJ-32729463AAC	Furiex Pharmaceuticals, Inc.	-oxacin	antibacterials (quinolone derivatives)	-oxacin	2012						Synthetic Small Molecule	Y	N	Achiral Molecule	N						COc1c(N2CCC\C(=C(/F)\CN)\C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O
433425	CHEMBL429876	Cilengitide (INN, USAN)		EMD-12192; EMD-121974	Merck, Germany	-tide	peptides	-tide	2001						Oligopeptide	N	N	Single Stereoisomer	N						CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O
161350	CHEMBL322241	Telinavir (INN, USAN)		SC-52151		-vir	antivirals: HIV protease inhibitors (saquinavir type)	-vir (-navir)	1995				Antiviral		Synthetic Small Molecule	N	N	Single Stereoisomer	N						CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)N)NC(=O)c2ccc3ccccc3n2)C(=O)NC(C)(C)C
675777	CHEMBL1201826	Idursulfase (BAN, FDA, INN, USAN)	4	EC 3.1.6.13		-ase	enzymes	-ase	2002	2006	A16AB09	A16AB09 [Alimentary Tract And Metabolism:Other Alimentary Tract And Metabolism Products:Other Alimentary Tract And Metabolism Products:Enzymes]			Enzyme	N	N	Single Stereoisomer	N	N	Y	N	Y	Discontinued	
1121284	CHEMBL1742413	Pibutidine (INN)				-tidine	H2-receptor antagonists (cimetidine type)	-tidine							Synthetic Small Molecule	Y	N	Achiral Molecule	N						NC1=C(NC\C=C/COc2cc(CN3CCCCC3)ccn2)C(=O)C1=O
1121305	CHEMBL1742434	Butocrolol (INN)				-olol	beta-blockers (propranolol type)	-olol							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1=CC(=O)c2c(O)c3ccoc3c(OCC(O)CNC(C)(C)C)c2O1
1121325	CHEMBL1742454	Spirendolol (INN)				-olol	beta-blockers (propranolol type)	-olol							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C)(C)NCC(O)COc1cccc2C(=O)C3(CCCCC3)Cc12
1121331	CHEMBL1742460	Primidolol (BAN, INN, USAN)		UK-11443	Pfizer	-olol	beta-blockers (propranolol type)	-olol	1979				Anti-Anginal; Antihypertensive; Cardiac Depressant (anti-arrhythmic)		Natural Product-derived	Y	N	Racemic Mixture	N						CC1=CN(CCNCC(O)COc2ccccc2C)C(=O)NC1=O
1121913	CHEMBL1743042	Motavizumab (INN, USAN)	3	MEDI-524	Astrazeneca	-mab	monoclonal antibodies	-mab	2005		J06BB17	J06BB17 [Antiinfectives For Systemic Use:Immune Sera And Immunoglobulins:Immunoglobulins:Specific immunoglobulins]			Antibody	N	N	Single Stereoisomer	N						
1179259	CHEMBL1835207	Apricoxib (INN, USAN)		CS-706; R-109339; TG01	Tragara Pharmaceuticals	-coxib	cyclooxygenase-2 inhibitors	-coxib	2008						Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCOc1ccc(cc1)c2cc(C)cn2c3ccc(cc3)S(=O)(=O)N
58326	CHEMBL37858	Sarafloxacin (BAN, INN); Sarafloxacin HCl (USAN)		ABBOTT-56620; ABBOTT-57135	Abbott	-oxacin	antibacterials (quinolone derivatives)	-oxacin	1990				Anti-Infective (DNA gyrase inhibitor)		Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)C1=CN(c2ccc(F)cc2)c3cc(N4CCNCC4)c(F)cc3C1=O
6243	CHEMBL72	Desipramine (BAN, INN); Desipramine HCl (FDA, JAN, USAN, USP)	4	18-8181; DMI; EX 4355; EX-4355; G-35020; JB-8181; RMI-9384A	Sanofi Aventis Us Llc	-pramine	antidepressants (imipramine type)	-pramine	1962	1964	N06AA01	N06AA01 [Nervous System:Psychoanaleptics:Antidepressants:Non-selective monoamine reuptake inhibitors]	Antidepressant		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	CNCCCN1c2ccccc2CCc3ccccc13
7501	CHEMBL84	Topotecan (BAN, INN); Topotecan HCl (FDA, USAN)	4	SK&F-S-104864A; SK-S-104864-A	SmithKline Beecham Corp Dba GlaxoSmithKline; Sandoz Inc; Hospira Inc; GlaxoSmithKline; Teva Pharmaceuticals Usa	-tecan	antineoplastics (camptothecine derivatives)	-tecan	1990	1996	L01XX17	L01XX17 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Other antineoplastic agents]	Antineoplastic (DNA topoisomerase I Inhibitor)	US-5674872-A	Natural Product-derived	Y	N	Single Stereoisomer	N	Y	Y	N	Y	Prescription-only	CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O
160578	CHEMBL95804	Sematilide (INN); Sematilide HCl (USAN)		CK-1752A		-ilide	class III antiarrhythmic agents	-ilide	1988				Cardiac Depressant (anti-arrhythmic)		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1
1121902	CHEMBL1743031	Indatuximab Ravtansine (INN)				-mab	monoclonal antibodies	-mab							Antibody	N	N	Single Stereoisomer	N						
1150404	CHEMBL1783734	Piragliatin (INN, USAN)		R04389620-R1440; Ro-4389620 R1440	F. Hoffmann-La Roche	-gliatin	glucokinase enzyme inhibitors (typically antidiabetics)	-gliatin	2007						Synthetic Small Molecule	Y	N	Single Stereoisomer	N						CS(=O)(=O)c1ccc(cc1Cl)[C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc3cnccn3
16759	CHEMBL577	Enalaprilat (BAN, FDA, INN, USAN, USP)	4	MK-421; MK-422	Biovail Laboratories International Srl	-prilat	antihypertensives (ACE inhibitors) (diacid analogs of the -pril entity)	-prilat	1984	1988			Antihypertensive		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	Y	N	Y	Prescription-only	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
1248747	CHEMBL1908376	Seocalcitol (BAN, INN)				-calci-	vitamin D analogues	-calci-							Natural Product-derived	N	N	Single Stereoisomer	N						CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C
1248693	CHEMBL1908322	Tipredane (BAN, INN, USAN)		SQ-27239	Bristol-Myers Squibb	-pred-	prednisone and prednisolone derivatives	-pred-	1986				Adrenocortical Steroid (topical)		Natural Product-derived	Y	N	Single Stereoisomer	N						CCS[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)SC
675709	CHEMBL1201758	Bepotastine (INN, USAN); Bepotastine Besilate (FDA); Bepotastine Besylate (USAN)	4	BB; TAU-284	Ube Industries For Ista Pharmaceuticals; Ista Pharmaceuticals	-astine	antihistaminics (histamine-H1 receptor antagonists)	-astine	2009	2009				US-6780877-B2	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	Y	N	Prescription-only	OC(=O)CCCN1CCC(CC1)O[C@@H](c2ccc(Cl)cc2)c3ccccn3
12534	CHEMBL269446	Trecetilide (INN); Trecetilide fumarate (USAN)		U-108342E	Pharmacia & Upjohn	-ilide	class III antiarrhythmic agents	-ilide	1997						Synthetic Small Molecule	Y	N	Single Stereoisomer	N						CCN(CCCCCC(C)(C)F)CCC[C@H](O)c1ccc(NS(=O)(=O)C)cc1
53623	CHEMBL36715	Piracetam (BAN, INN, USAN)		CL-871	Ucb, Belgium	-racetam	nootropes (piracetam type)	-racetam	1980		N06BX03	N06BX03 [Nervous System:Psychoanaleptics:Psychostimulants, Agents Used For Adhd And Nootropics:Other psychostimulants and nootropics]	Cognition Adjuvant		Synthetic Small Molecule	Y	N	Achiral Molecule	N						NC(=O)CN1CCCC1=O
302297	CHEMBL361812	Ramatroban (BAN, INN)		BAY-U-3405; EN-137774		-troban	antithrombotics (thromboxane A2 receptor antagonists)	-troban							Synthetic Small Molecule	Y	N	Single Stereoisomer	N						OC(=O)CCn1c2CC[C@H](Cc2c3ccccc13)NS(=O)(=O)c4ccc(F)cc4
178804	CHEMBL108541	Trinitrophenol (NF)				-trop-	atropine derivatives	-trop-							Synthetic Small Molecule	Y	N	Achiral Molecule	N						Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
230236	CHEMBL138093	Senazodan (INN)				-dan	positive inotropic agents (pimobendan type)	-dan							Synthetic Small Molecule	Y	N	Achiral Molecule	N						O=C1CCC(=NN1)c2ccc(Nc3ccncc3)cc2
674999	CHEMBL1201048	Dromostanolone Propionate (FDA, USAN, USP); Drostanolone (BAN, INN); Drostanolone Propionate (JAN)	4	32379	Eli Lilly And Co	-olone	steroids (not prednisolone derivatives)	-olone	1963	1982			Antineoplastic		Natural Product-derived	Y	N	Single Stereoisomer	Y	N	Y	N	N	Discontinued	CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C
37980	CHEMBL284906	Nicorandil (BAN, INN, JAN, USAN)		SG-75	Chugai Pharmaceutical Co., Ltd., Japan	-dil	vasodilators (undefined group)	-dil	1981		C01DX16	C01DX16 [Cardiovascular System:Cardiac Therapy:Vasodilators Used In Cardiac Diseases:Other vasodilators used in cardiac diseases]	Vasodilator (coronary)		Synthetic Small Molecule	Y	N	Achiral Molecule	N						[O-][N+](=O)OCCNC(=O)c1cccnc1
34438	CHEMBL283639	Disoxaril (INN, USAN)		WIN-51711	Sterling Winthrop	-aril	antiviral (arildone derivatives)	-aril	1987				Antiviral		Synthetic Small Molecule	Y	N	Achiral Molecule	N						Cc1cc(CCCCCCCOc2ccc(cc2)C3=NCCO3)on1
217612	CHEMBL337702	Oxidopamine (INN, USAN)				-pamine	dopaminergics (butopamine type)	-pamine	1977				Adrenergic (ophthalmic)		Synthetic Small Molecule	Y	N	Achiral Molecule	N						NCCc1cc(O)c(O)cc1O
92577	CHEMBL61872	Talampanel (INN)		LY-300164		-ampanel	ionotropic non-NMDA glutamate receptors (AMPA and/or KA receptors): antagonists	-ampanel							Synthetic Small Molecule	Y	N	Single Stereoisomer	N						C[C@@H]1Cc2cc3OCOc3cc2C(=NN1C(=O)C)c4ccc(N)cc4
56480	CHEMBL290960	Nifurtimox (BAN, INN, MI)		BAY-2502; BAYER-2502; DNDI1613515		nifur-	5-nitrofuran derivatives	nifur-			P01CC01	P01CC01 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Agents Against Leishmaniasis And Trypanosomiasis:Nitrofuran derivatives]			Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1CS(=O)(=O)CCN1\N=C\c2oc(cc2)[N+](=O)[O-]
949182	CHEMBL1525298	Diethylstilbestrol Dipropionate (MI, NF)			Sterling Winthrop	-estr-	estrogens	-estr-							Synthetic Small Molecule	N	N	Achiral Molecule	N						CCC(=O)Oc1ccc(cc1)\C(=C(/CC)\c2ccc(OC(=O)CC)cc2)\CC
28433	CHEMBL24938	Lorglumide (INN)		CR-1409		-glumide	CCK antagonists, antiulcer, anxiolytic agent	-glumide							Synthetic Small Molecule	N	N	Racemic Mixture	N						CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
118194	CHEMBL75013	Zanapezil (INN)		TAK-147		-pezil	acetylcholinesterase inhibitors used in the treatment of Alzheimers disease	-pezil							Synthetic Small Molecule	N	N	Achiral Molecule	N						O=C(CCC1CCN(Cc2ccccc2)CC1)c3ccc4CCCCNc4c3
515198	CHEMBL514270	Emicerfont (INN, USAN)		GW876008; GW876008X	GlaxoSmithKline	-cerfont	CRF-1 (corticotropin releasing factor) receptor antagonists	-cerfont	2009						Synthetic Small Molecule	Y	N	Achiral Molecule	N						COc1ccc(N2CCc3c2nc(C)cc3n4ccc(n4)N5CCNC5=O)c(C)c1
624429	CHEMBL1099272	Ximoprofen (INN)				-profen	anti-inflammatory/analgesic agents (ibuprofen type)	-profen							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(C(=O)O)c1ccc(cc1)C2CCC\C(=N\O)\C2
421326	CHEMBL1520	Vardenafil (BAN, INN); Vardenafil HCl (FDA); Vardenafil Dihydrochloride (USAN)	4		Bayer Healthcare Pharmaceuticals Inc; Bayer	-afil	PDE5 inhibitors	-afil	2001	2003	G04BE09	G04BE09 [Genito Urinary System And Sex Hormones:Urologicals:Urologicals:Drugs used in erectile dysfunction]		US-6362178-B1	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CCCc1nc(C)c2C(=O)N=C(Nn12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4
674888	CHEMBL1200937	Dalfopristin (BAN, FDA, INN, USAN)	4	RP-54476	King Pharmaceuticals Inc	-pristin	antibacterials, pristinamycin derivatives	-pristin	1993	1999			Antibacterial		Natural Product-derived	N	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(=C\[C@@H](O)CC(=O)Cc3occ(n3)C2=O)\C
398457	CHEMBL236297	Rifalazil (INN, USAN)		KRM-1648	Kanegafuchi, Japan	rifa-	antibiotics (rifamycin derivatives)	rifa-	1997				Antibacterial (antimycobacterial)		Natural Product-derived	N	N	Single Stereoisomer	N						CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(=C5Oc6cc(cc(O)c6N=C5c4c3C2=O)N7CCN(CC(C)C)CC7)NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C
887229	CHEMBL1463345	Canrenone (INN, USAN)		SC-9376		-renone	aldosterone antagonists (spironolactone type)	-renone	1967		C03DA03	C03DA03 [Cardiovascular System:Diuretics:Potassium-Sparing Agents:Aldosterone antagonists]	Aldosterone Antagonist		Natural Product-derived	Y	N	Single Stereoisomer	N						C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CC[C@@]45CCC(=O)O5
439021	CHEMBL257661	Metazocine (BAN, DCF, INN, MI)				-azocine	narcotic antagonists/agonists (6,7-benzomorphan derivatives)	-azocine							Synthetic Small Molecule	Y	N	Single Stereoisomer	N						C[C@H]1[C@@H]2Cc3ccc(O)cc3[C@]1(C)CCN2C
11474	CHEMBL267648	Pefloxacin (BAN, INN, USAN); Pefloxacin Mesylate (USAN)		1589 RB; EU-5306; 41 982 RP		-oxacin	antibacterials (quinolone derivatives)	-oxacin	1981		J01MA03	J01MA03 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Quinolone Antibacterials:Fluoroquinolones]	Antibacterial		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3
2124	CHEMBL7679	Ponalrestat (BAN, INN, USAN)		ICI-128436		-stat	enzyme inhibitors: aldose-reductase inhibitors	-stat (-restat)	1988				Inhibitor (aldose reductase)		Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)CC1=NN(Cc2ccc(Br)cc2F)C(=O)c3ccccc13
277853	CHEMBL167691	Laromustine (INN, USAN)		101M; VNP40101M	Vion Pharmaceuticals	-mustine	antineoplastics (chloroethylamine derivatives)	-mustine	2007						Synthetic Small Molecule	Y	N	Achiral Molecule	N						CNC(=O)N(N(CCCl)S(=O)(=O)C)S(=O)(=O)C
142807	CHEMBL89705	Tallimustine (INN)				-mustine	antineoplastics (chloroethylamine derivatives)	-mustine							Synthetic Small Molecule	N	N	Achiral Molecule	N						Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(cc4)N(CCCl)CCCl)cn3C)cn2C)cc1C(=O)NCCC(=N)N
207	CHEMBL404	Tazobactam (BAN, INN, USAN); Tazobactam sodium (FDA, USAN)	4	CL-298741; YTR-830H; CL-307579	Wyeth Pharmaceuticals Inc; Taiho, Japan	-bactam	beta-lactamase inhibitors	-bactam	1989	1993	J01CG02	J01CG02 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Beta-Lactam Antibacterials, Penicillins:Beta-lactamase inhibitors]	Inhibitor (beta-lactamase)	US-6207661-B1	Natural Product-derived	Y	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)O
1066078	CHEMBL1652606	Ceftobiprole Medocaril (INN, USAN)		BAL-5788; BAL5788-001; Ro-655788		cef-	cephalosporins	cef-	2006		J01DI01	J01DI01 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Other Beta-Lactam Antibacterials:Other cephalosporins and penems]			Natural Product-derived	N	N	Single Stereoisomer	N						CC1=C(COC(=O)N2CC[C@H](C2)N3CC\C(=C/C4=C(N5[C@H](SC4)[C@H](NC(=O)\C(=N\O)\c6nsc(N)n6)C5=O)C(=O)O)\C3=O)OC(=O)O1
452472	CHEMBL462019	Trofosfamide (INN, MI)		A-4828; Z-4828		-fosfamide	isophosphoramide mustard derivatives	-fosfamide			L01AA07	L01AA07 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Alkylating Agents:Nitrogen mustard analogues]			Synthetic Small Molecule	Y	N	Racemic Mixture	N						ClCCN(CCCl)P1(=O)OCCCN1CCCl
672807	CHEMBL1198857	Vilanterol (INN, USAN); Vilanterol Trifenatate (FDA, USAN)	4	GW642444X; GW642444M	GlaxoSmithKline	-terol	bronchodilators (phenethylamine derivatives)	-terol	2009	2013				US-5873360-A	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	N	N	Y	Y	Prescription-only	OCc1cc(ccc1O)[C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl
255777	CHEMBL153867	Pirifibrate (INN, MI)				-fibrate	antihyperlipidemics (clofibrate type)	-fibrate							Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc2cccc(CO)n2
140651	CHEMBL313136	Simendan (INN)				-dan	positive inotropic agents (pimobendan type)	-dan							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1CC(=O)NN=C1c2ccc(NN=C(C#N)C#N)cc2
283293	CHEMBL355200	Eniluracil (BAN, INN, USAN)		776C85	Glaxo Wellcome	-uracil	uracil derivatives used as thyroid antagonists and as antineoplastics	-uracil	1997				Antineoplastic (adjunct)		Natural Product-derived	Y	N	Achiral Molecule	N						Oc1ncc(C#C)c(O)n1
114808	CHEMBL73383	Lodiperone (INN)				-perone	antianxiety agents/neuroleptics (4-fluoro-4-piperidinobutyrophenone derivatives)	-perone							Synthetic Small Molecule	N	N	Achiral Molecule	N						Oc1oc(CCN2CCN(CC2)c3cc(Cl)cc(Cl)c3)c(n1)c4ccc(F)cc4
68916	CHEMBL44793	Gavestinel (BAN, INN, USAN)		GV-150526X	Ciba-Geigy	-stinel	(N-methyl-D-asparate) NMDA receptor antagonist, glycine recognition site	-stinel	1998						Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C\C(=O)Nc3ccccc3
300585	CHEMBL178803	Blonanserin (INN)				-anserin	serotonin 5-HT2 receptor antagonists	-anserin							Synthetic Small Molecule	N	N	Achiral Molecule	N						CCN1CCN(CC1)c2cc(c3CCCCCCc3n2)c4ccc(F)cc4
515421	CHEMBL463981	Begacestat (INN, USAN)		GSI-953		-stat	enzyme inhibitors: gamma secretase inhibitors	-stat (-gacestat)	2005						Synthetic Small Molecule	Y	N	Single Stereoisomer	N						OC[C@@H](NS(=O)(=O)c1ccc(Cl)s1)C(C(F)(F)F)C(F)(F)F
210490	CHEMBL340211	Azaperone (BAN, INN, USAN, USP)		R-1929	Janssen Pharmaceutica, Belgium	-perone	antianxiety agents/neuroleptics (4-fluoro-4-piperidinobutyrophenone derivatives)	-perone	1967				Antipsychotic		Synthetic Small Molecule	Y	N	Achiral Molecule	N						Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3
1015609	CHEMBL1591725	Oxiniacic Acid (DCF, INN, MI)				-cic	hepatoprotectives (timonacic type)	-cic							Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)c1ccc[n+]([O-])c1
1121299	CHEMBL1742428	Donitriptan (INN)				-triptan	antimigraine agents (5-HT1 receptor agonists),sumatriptan derivatives	-triptan							Synthetic Small Molecule	Y	N	Achiral Molecule	N						NCCc1c[nH]c2ccc(OCC(=O)N3CCN(CC3)c4ccc(cc4)C#N)cc12
714243	CHEMBL1287853	Fedratinib (INN, USAN)		SAR-302503; TG-101348	Sanofi	-tinib	tyrosine kinase inhibitors	-tinib	2013						Synthetic Small Molecule	N	N	Achiral Molecule	N						Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C
1121342	CHEMBL1742471	Ebrotidine (INN)				-tidine	H2-receptor antagonists (cimetidine type)	-tidine							Synthetic Small Molecule	Y	N	Achiral Molecule	N						NC(=N)Nc1nc(CSCCN\C=N\S(=O)(=O)c2ccc(Br)cc2)cs1
1121346	CHEMBL1742475	Flezelastine (INN)				-astine	antihistaminics (histamine-H1 receptor antagonists)	-astine							Synthetic Small Molecule	N	N	Racemic Mixture	N						Fc1ccc(CC2=NN(C3CCCN(CCc4ccccc4)CC3)C(=O)c5ccccc25)cc1
1121860	CHEMBL1742989	Bavituximab (INN, USAN)	2	Ch3G4; Tarvacin	Peregrine	-mab	monoclonal antibodies	-mab	2006						Antibody	N	N	Single Stereoisomer	N						
41764	CHEMBL31965	Canertinib (INN); Canertinib Dihydrochloride (USAN)		CI-1033; PD-0183805; PD-183805	Pfizer	-tinib	tyrosine kinase inhibitors	-tinib	2002						Synthetic Small Molecule	Y	N	Achiral Molecule	N						Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
1121932	CHEMBL1743061	Rafivirumab (INN)	1	CR-57	Crucell	-mab; -vir-	monoclonal antibodies; antivirals	-mab; -vir-							Antibody	N	N	Single Stereoisomer	N						
1121894	CHEMBL1743023	Fulranumab (INN, USAN)	2	AMG-403; JNJ-42160443	Johnson & Johnson; Amgen	-mab	monoclonal antibodies	-mab	2010						Antibody	N	N	Single Stereoisomer	N						
1121872	CHEMBL1743001	Cixutumumab (INN, USAN)	2	IMC-A12	Imclone Systems	-mab	monoclonal antibodies	-mab	2008						Antibody	N	N	Single Stereoisomer	N						
